date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:23:21	22560/22560	---MCZ	200	added ('OK')	application/json	date:Sat,%2002%20Oct%202021%2017:53:18%20GMT	https://katboogaard.com/wp-json/wp/v2/posts/2391	I:/BlogWebsite/katboogaard.com/wp-json/wp/v2/posts/2391.json	(from https://katboogaard.com/2018-year-in-review/)
23:23:21	231213/231213	---M--	200	added ('OK')	image/jpeg	etag:%225e0525ac-3872d%22	https://katboogaard.com/wp-content/uploads/2019/12/baby-announcement-1024x1022.jpg	I:/BlogWebsite/katboogaard.com/wp-content/uploads/2019/12/baby-announcement-1024x1022.jpg	(from https://katboogaard.com/2019-year-in-review/)
23:23:21	812/812	---MCZ	200	added ('OK')	application/rss+xml	etag:W/%22b73a224a15ea4e1b03bc3779fc467c28-gzip%22	https://katboogaard.com/2018-year-in-review/feed/	I:/BlogWebsite/katboogaard.com/2018-year-in-review/feed/index.html	(from https://katboogaard.com/2018-year-in-review/)
23:23:21	389403/389403	---M--	200	added ('OK')	image/jpeg	etag:%225e05280d-5f11b%22	https://katboogaard.com/wp-content/uploads/2019/12/bert-and-gracie-1022x1024.jpg	I:/BlogWebsite/katboogaard.com/wp-content/uploads/2019/12/bert-and-gracie-1022x1024.jpg	(from https://katboogaard.com/2019-year-in-review/)
23:23:22	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2002%20Oct%202021%2017:53:21%20GMT	https://katboogaard.com/?p=2391	I:/BlogWebsite/katboogaard.com/indexd309.html	(from https://katboogaard.com/2018-year-in-review/)
23:23:22	2733/2733	---MCZ	200	added ('OK')	application/json	date:Sat,%2002%20Oct%202021%2017:53:21%20GMT	https://katboogaard.com/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fkatboogaard.com%2F2018-year-in-review%2F	I:/BlogWebsite/katboogaard.com/wp-json/oembed/1.0/embeddacb.json	(from https://katboogaard.com/2018-year-in-review/)
23:23:22	2873/2873	---MCZ	200	added ('OK')	text/xml	date:Sat,%2002%20Oct%202021%2017:53:22%20GMT	https://katboogaard.com/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fkatboogaard.com%2F2018-year-in-review%2F&format=xml	I:/BlogWebsite/katboogaard.com/wp-json/oembed/1.0/embedf81d	(from https://katboogaard.com/2018-year-in-review/)
23:23:24	89370/89370	---M--	200	added ('OK')	image/jpeg	etag:%225c215a4a-15d1a%22	https://katboogaard.com/wp-content/uploads/2018/12/ACS_0083-1024x1024.jpg	I:/BlogWebsite/katboogaard.com/wp-content/uploads/2018/12/ACS_0083-1024x1024.jpg	(from https://katboogaard.com/2018-year-in-review/)
23:23:24	178799/178799	---M--	200	added ('OK')	image/jpeg	etag:%225c215a2d-2ba6f%22	https://katboogaard.com/wp-content/uploads/2018/12/ACS_0079-1024x1021.jpg	I:/BlogWebsite/katboogaard.com/wp-content/uploads/2018/12/ACS_0079-1024x1021.jpg	(from https://katboogaard.com/2018-year-in-review/)
23:23:25	110189/110189	---M--	200	added ('OK')	image/jpeg	etag:%225c215aab-1ae6d%22	https://katboogaard.com/wp-content/uploads/2018/12/36815689_10160681928475338_7976604045131382784_n.jpg	I:/BlogWebsite/katboogaard.com/wp-content/uploads/2018/12/36815689_10160681928475338_7976604045131382784_n.jpg	(from https://katboogaard.com/2018-year-in-review/)
23:23:25	121009/121009	---M--	200	added ('OK')	image/png	etag:%225c215b00-1d8b1%22	https://katboogaard.com/wp-content/uploads/2018/12/Screen-Shot-2018-12-24-at-4.17.22-PM-1024x411.png	I:/BlogWebsite/katboogaard.com/wp-content/uploads/2018/12/Screen-Shot-2018-12-24-at-4.17.22-PM-1024x411.png	(from https://katboogaard.com/2018-year-in-review/)
23:23:25	70505/70505	---M--	200	added ('OK')	image/jpeg	etag:%225c229f38-11369%22	https://katboogaard.com/wp-content/uploads/2018/12/ACS_0004-1024x1024.jpg	I:/BlogWebsite/katboogaard.com/wp-content/uploads/2018/12/ACS_0004-1024x1024.jpg	(from https://katboogaard.com/2018-year-in-review/)
23:23:25	184321/184321	---M--	200	added ('OK')	image/jpeg	etag:%225c2298d9-2d001%22	https://katboogaard.com/wp-content/uploads/2018/12/ACS_0078-1024x1024.jpg	I:/BlogWebsite/katboogaard.com/wp-content/uploads/2018/12/ACS_0078-1024x1024.jpg	(from https://katboogaard.com/2018-year-in-review/)
23:23:26	188911/188911	---M--	200	added ('OK')	image/jpeg	etag:%225c2298f6-2e1ef%22	https://katboogaard.com/wp-content/uploads/2018/12/ACS_0072-1024x1024.jpg	I:/BlogWebsite/katboogaard.com/wp-content/uploads/2018/12/ACS_0072-1024x1024.jpg	(from https://katboogaard.com/2018-year-in-review/)
23:23:26	164940/164940	---M--	200	added ('OK')	image/jpeg	etag:%225c2299f1-2844c%22	https://katboogaard.com/wp-content/uploads/2018/12/Kat-17-1024x1024.jpg	I:/BlogWebsite/katboogaard.com/wp-content/uploads/2018/12/Kat-17-1024x1024.jpg	(from https://katboogaard.com/2018-year-in-review/)
23:23:27	247173/247173	---M--	200	added ('OK')	image/jpeg	etag:%225c229917-3c585%22	https://katboogaard.com/wp-content/uploads/2018/12/ACS_0059-1022x1024.jpg	I:/BlogWebsite/katboogaard.com/wp-content/uploads/2018/12/ACS_0059-1022x1024.jpg	(from https://katboogaard.com/2018-year-in-review/)
23:23:27	18078/18078	---MCZ	200	added ('OK')	application/json	date:Sat,%2002%20Oct%202021%2017:53:26%20GMT	https://katboogaard.com/wp-json/wp/v2/posts/2380	I:/BlogWebsite/katboogaard.com/wp-json/wp/v2/posts/2380.json	(from https://katboogaard.com/how-to-stand-out-as-a-freelancer/)
23:23:27	834/834	---MCZ	200	added ('OK')	application/rss+xml	etag:W/%22b73a224a15ea4e1b03bc3779fc467c28-gzip%22	https://katboogaard.com/how-to-stand-out-as-a-freelancer/feed/	I:/BlogWebsite/katboogaard.com/how-to-stand-out-as-a-freelancer/feed/index.html	(from https://katboogaard.com/how-to-stand-out-as-a-freelancer/)
